English,Turkish
positive,pozitif
attorney,avukat
direction,yön
families,aileler
clock,saat
doin,işlemek
forces,kuvvetler
location,konum
walls,duvarlar
useless,kullanışsız
grant,hibe etmek
saving,tasarruf
speaks,konuşuyor
fought,kavga etti
meal,yemek
deliver,teslim etmek
answers,Yanıtlar
changing,değiştirme
temple,tapınak
scary,korkutucu
millions,milyonlarca
offered,teklif edilen
regular,düzenli
carrying,taşıma
official,resmi
jacket,ceket
switch,anahtar
grave,mezar
chase,takip etmek
role,rol
odd,garip
sexy,seksi
faces,yüzler
becomes,hale gelmek
closes,kapanır
badly,kötü
tall,uzun
confused,kafası karışmış
affair,mesele
television,televizyon
shock,şok
raised,kabarık
panting,nefes nefese
pizza,Pizza
image,imaj
clears,temizlik
golden,altın
patients,hastalar
watched,izlemiş
committed,bağlılık
sexual,cinsel
suffer,acı çekmek
arthur,Arthur
wherever,her nerede
plate,plaka
appear,belli olmak
chocolate,çikolata
clever,akıllı
hm,HM
mercy,merhamet
shots,çekim
lucy,Lucy
dealing,anlaşma
trap,tuzak
charges,suçlama
phil,Fil
bang,patlama
poison,zehir
butt,çan
drove,sürdü
yourselves,kendiniz
headed,başlı
babies,bebekler
yellow,sarı
soup,çorba
mystery,gizem
picking,toplama
sat,doygunluk
wound,yara
traffic,trafik
courage,cesaret
hunt,avlamak
indian,Hintli
rat,fare
terms,şartlar
italian,İtalyan
emma,Emma
checking,kontrol etme
disease,hastalık
managed,yönetilen
winner,kazanan
council,konsey
appointment,randevu
monday,Pazartesi
crack,çatırtı
threat,tehdit
jenny,Jenny
physical,fiziksel
nation,ulus
source,kaynak
chose,seçkin
healthy,sağlıklı
carl,carl
victory,zafer
rick,Rick
stood,durmak
kicked,atılmış
annie,Annie
disgusting,iğrenç
palace,Saray
below,altında
shopping,alışveriş
neighborhood,komşu
march,mart
lips,dudak
midnight,gece yarısı
piss,işemek
advantage,avantaj
pure,saf
india,Hindistan
aside,bir kenara
jerk,sarsmak
mail,posta
dawn,şafak
effect,etki
spell,hecelemek
freak,çatlak
wood,odun
screwed,berbat
enemies,düşman
gary,Gary
awake,uyanmak
chuckling,kıkırdayan
vacation,tatil
violence,şiddet
leo,LEO
grandmother,Nene
modern,modern
luke,Luke
firm,firma
prime,astar vurmak
heh,heh
touched,dokunaklı
talent,yetenek
whore,fahişe
piano,piyano
license,lisans
cooking,yemek pişirmek
honour,onur
concern,kaygı
moves,hareketler
available,mevcut
factory,fabrika
gods,tanrılar
value,değer
central,merkezi
union,birlik
mirror,ayna
studio,stüdyo
media,medya
taxi,taksi
dies,ölür
iron,ütü
hearts,kalp
desire,arzu
rob,soymak
claire,Claire
fred,Fred
songs,şarkılar
washington,Washington
monkey,maymun
pride,gurur
pills,haplar
miracle,mucize
swim,yüzmek
burned,yanmış
smells,koku
joking,şaka
christian,Hıristiyan
bleeding,kanama
hook,kanca
beating,dayak
protection,koruma
treatment,tedavi
ear,kulak
carter,carter
metal,metal
disappear,yok olmak
grateful,minnettar
extremely,aşırı boyutta
treasure,hazine
rescue,kurtarmak
capable,yetenekli
passing,geçen
chatter,çırpmak
result,sonuç
suffering,cefa
sisters,kız kardeşler
laid,yataklı
governor,Vali
guards,muhafızlar
louis,Louis
text,metin
literally,gerçekten
remove,kaldırmak
becoming,bulaşma
performance,verim
stronger,Daha güçlü
rate,oran
deeply,derinlemesine
scream,bağırmak
desert,çöl
vehicle,araç
